SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,NumBars,NumBeats,EndOfFadeIn,Energy,Key,Loudness,Mode,NumSections,SegmentsLoudnessMax,SegmentsLoudnessMaxTime,NumSegments,SongHotness,StartOfFadeOut,NumTatums,Track7DigitalID,TrackID
2303,b'SOEGPFZ12AB0180F58',647213,b'The Universal Cure',b'ARL5BEN1187B98E4D9',,b'Montego Bay Jamaica',,b'Jah Cure',0,287.65995,5,0.551,85.731,1,0.584,b'Freedom',2008,408,408,0.148,0,5,-6.304,0,15,-1.338,0.50459,1090,0.485122364,279.667,1225,7169376,b'TRAHUQF128F934EF0C'
2304,b'SOTYSQF12A8C13E0AA',267820,b'Photograph [Commercial Single]',b'ARPAAHK1187B9ABB00',49.26044,b'Hanna Alberta Canada',-123.11403,b'Nickelback',0,119.7971,11,0.354,161.909,4,0.685,b'We Will Rock You',2005,77,311,0.085,0,11,-5.535,0,5,-2.755,0.82023,334,0.627608603,113.766,311,2946184,b'TRAHUQT128F4281228'
2305,b'SOALDWR12A6D4FAEA3',64157,b'Battle Of Britain',b'ARKON4P1187B98B291',50.3758,b'Plymouth Devon England',-4.13689,b'Ron Goodwin',0,47.51628,7,0.21,61.409,1,0,b'Personal Tragedy',1999,38,38,0.362,0,7,-19.995,1,3,-15.497,0.96214,65,0.212045405,47.516,77,665079,b'TRAHUSK128F14AD120'
2306,b'SOEHRVB12A8C1324C3',146308,b'Standing By',b'ARB78VW1187B98F81C',,b'',,b'George Nooks',0,223.50322,7,0.549,149.827,4,0.09,b'Better Way Of Life',2001,138,554,0.404,0,7,-5.641,0,6,-0.801,0.23289,1013,nan,217.925,1108,1526181,b'TRAHUTQ128F4254D9A'
2307,b'SOKWGBG12AC4685CBC',742306,b'Willie Clancy The Gold Ring',b'ARXZP9T1187FB4565D',52.85551,b'Miltown Malbay Ireland',-9.40102,b'Willie Clancy',0,105.74322,2,0.818,145.635,1,0.64,b'Double Jig: The Rolling Wave',0,247,247,0.676,0,2,-11.367,1,4,-9.184,0.38258,364,nan,100.897,494,8219090,b'TRAHUVQ12903D05C14'
2308,b'SOHSNYO12A8C134B6C',292133,b'Keep It Simple',b'ARO0QD41187FB3AB0A',34.05349,b'Los Angeles CA',-118.24532,"bKeb' Mo'""""",0,194.48118,7,0.511,88.746,1,0,"bI'm Amazing""""",2004,279,279,0.154,0,7,-10.981,1,7,-5.217,0.23169,608,0.536032112,181.005,558,3280498,b'TRAHUWM128F42801C0'
2309,b'SOPQUHV12A8C143FB2',615129,b'Bela Fleck and the Flecktones',b'ARJXULI11F4C83C865',,b'',,b'Bela Fleck And The Flecktones',0,368.53506,5,0.542,227.48,4,0.422,b'Frontiers (LP Version)',0,345,1381,8.922,0,5,-20.335,1,18,-12.327,0.61054,1576,nan,344.126,2763,6838442,b'TRAHUYG128F92FE8DB'
2310,b'SOJQZKY12AB018BEEF',571090,b'When Angels and Serpents Dance',b'AR65OLD1187FB5C103',,b'',,b'P.o.d',0,159.76444,2,0.247,128.961,3,0.793,b'Roman Empire',0,111,337,0,0,2,-10.012,0,5,-2.206,0.37371,424,0.596300264,150.988,674,6326492,b'TRAHUZS12903C9D9DD'
2311,b'SOYNSUU12AB01838B2',443355,b'Aux',b'AR1DC0611A348EFB30',46.49,b'Sudbury Ontario - Canada',-80.99001,b'Statues',0,211.01669,0,0.774,107.892,4,0,b'Urbania',0,95,390,0.519,0,0,-8.873,1,11,-3.361,0.56544,530,0,203.593,780,4922874,b'TRAHUZW128F92FB27F'
2312,b'SOCUDML12A5829113A',600571,b'Thank You Mama For Praying For Me...',b'AREWQSE1187B9AEC6C',32.58507,b'Mississippi',-89.87374,b'The Jackson Southernaires',0,248.99873,7,0.688,129.034,3,0.804,b'Thank You Mama',0,173,527,0.188,0,7,-13.795,1,11,-6.497,0.70311,857,0,239.177,1054,6665983,b'TRAHVBC12903CEF90F'
2313,b'SOEERUL12A8C144976',757780,b'Del And The Boys',b'AR7KA5V1187FB44E6B',,b'',,b'The Del McCoury Band',0,188.49914,0,0.857,170.079,1,0,b'Gone But Not Forgotten',0,529,529,0.351,0,0,-7.659,1,6,-3.295,0.92213,740,0.619305881,185.313,1058,8388282,b'TRAHVBF12903CB81F3'
2314,b'SONPTCR12A8C14141A',591200,b'Nordic Hotel',b'ARBQ5TQ1187B992B8A',,b'CANADA - Ontario',,b'Vivian',0,182.62159,5,0.68,105.004,4,0.422,b'Celebration',0,77,310,0,0,5,-4.373,1,8,-2.006,1.17688,446,0,177.807,1241,6555934,b'TRAHVDM12903CD4C4C'
2315,b'SOYSVCJ12A6D4F91D2',43318,b'Hybrid Theory',b'ARQUMH41187B9AF699',34.05349,b'Los Angeles CA',-118.24532,b'Linkin Park',0,190.30159,3,0.212,103.129,4,0.712,b'Pushing Me Away (Album Version)',2000,80,324,0,0,3,-4.78,0,7,-1.261,0.87134,605,nan,183.472,1296,462128,b'TRAHVGN128F1484412'
2316,b'SOROCHB12AB0185298',629748,b'Emotional Ninja',b'ARDUJZJ1252CCFA253',,b'',,b'Whitney Cummings',0,78.91546,10,0.12,145.562,7,0.654,b'Porn',2009,27,195,0,0,10,-4.314,0,4,-1.18,0.80476,273,0.215080319,78.915,195,6989921,b'TRAHVMI128F93235CD'
2317,b'SOYUONX12A58A7A821',390157,b'The Essential Ronnie Milsap',b'ARGIABO1187FB4B3B5',35.32689,b'Robbinsville NC',-83.80489,b'Ronnie Milsap',0,251.27138,2,1,113.86,4,0.265,"bWhy Don't You Spend The Night""""",1980,117,471,0.257,0,2,-10.415,1,7,-3.887,0.30389,817,nan,231.741,942,4341044,b'TRAHVRW128F92F15FE'
2318,b'SOMECAL12AF72A464D',110159,b'Time Will Crawl E.P.',b'ARJA1841187FB3A029',51.50632,b'London UK',-0.12714,b'David Bowie',0,369.13587,11,0.906,121.842,4,0.481,b'Time Will Crawl (Extended Dance Mix)',0,186,747,0,0,11,-11.085,0,16,-5.108,0.27833,1137,0.271883976,358.336,1495,1139560,b'TRAHVUH128F4295249'
2319,b'SOTFZEZ12A6D4F79CF',22383,b'The Roots Come Alive',b'AR8RXRI1187FB4104B',39.95227,b'Philadelphia Pennsylvania U.S.',-75.16237,b'The Roots',0,237.58322,1,0,94.819,4,0.58,b'The Ultimate',0,86,383,0,0,1,-2.664,1,12,1.369,0.23636,1068,0.474054831,237.583,766,231116,b'TRAHVUK128F1456988'
2320,b'SOCBIEJ12A8C135CDB',94459,b'The Flies',b'ART35UC1187FB4CC25',,b'',,b'The Flies',0,222.40608,5,0.002,95.051,3,0.226,b'All Too Human',2007,114,345,11.755,0,5,-11.814,0,6,-5.715,0.37897,577,nan,217.693,691,988171,b'TRAHVVX128F4273BCC'
2321,b'SOZLLLT12A3F1EA275',47639,b'Business As Usual',b'ARSQDUN1187B98D7D7',,b'allentown Pennsylvania USA',,b'EPMD',0,159.26812,6,0.543,173.423,4,0.918,b'Mr. Bozack',1990,114,459,0.31,0,6,-11.498,0,8,-6.294,0.24904,742,0.476248227,159.268,918,510705,b'TRAHVWT128F148D428'
2322,b'SOCCSCK12A58A7B859',111881,b'Rhythms Of Life',b'AR00LNI1187FB444A5',,b'',,b'Bruce BecVar',0,226.82077,0,0.396,45.43,4,1,b'Razamataz',0,17,169,1.214,0,0,-12.778,1,8,-6.136,0.34816,719,0.518759898,224.223,675,1156760,b'TRAHVYQ128F429826B'
2323,b'SOUJQRS12A6D4F7ADE',27051,b'Between The Buried And Me',b'AR7GUNF1187B990CCF',35.2225,b'Charlotte NC',-80.83754,b'Between The Buried And Me',0,291.39546,1,0.457,179.406,4,0.439,b'Use Of A Weapon (Album Version)',2002,212,852,0,0,1,-5.765,1,10,-2.606,1.07383,961,0.579038701,286.616,1704,294250,b'TRAHVZW128F146477A'
2324,b'SOKRBIR12A8C12FF4B',238767,b'Soft Place To Fall',b'ARQ6DNW1187FB4DF1D',36.83264,b'Portsmouth VA',-76.29771,b'Deborah Coleman',0,209.44934,5,0.652,127.122,4,0.89,b'Confused',2000,104,420,0.171,0,5,-3.432,1,10,0.226,0.52732,588,0.334706549,195.587,839,2614791,b'TRAHWBI128F4234331'
2325,b'SOLCWWS12AB0188F42',708849,b'Ylem',b'ARB4ZRM1187B993147',,b'',,b'Dark Fortress',0,336.16934,3,0,127.817,4,1,b'Evenfall',2010,173,698,0,0,3,-3.832,1,14,-1.016,0.8687,640,0.754404411,307.542,1395,7861591,b'TRAHWBP12903CAEBFC'
2326,b'SOZTXFU12A8C13F5C0',269267,b'No borders',b'ARL47TY11C8A416938',,b'',,b'Time Factory',0,243.56526,1,0.155,89.335,3,1,b'Fleeting sound',2006,119,363,4.429,0,1,-6.612,1,7,-0.682,0.74091,1296,nan,240.39,1087,2978049,b'TRAHWEI128F4287988'
2327,b'SONNWOE12A6D4F8272',24765,b'10 Aniversario',b'ARMT23H1187B995083',29.42449,b'SAN ANTONIO Texas',-98.49462,b'Emilio',0,165.27628,10,0.511,198.118,1,0,b'Hoy',0,531,531,0.235,0,10,-13.718,1,9,-9.167,0.28875,820,0,158.523,1062,262772,b'TRAHWMN128F145DB77'
2328,b'SOUOOCR12AB0182781',363783,b'Down On My Knees',b'ARN03F71187FB4E3F4',,b'United States',,b'Ayo',0,240.95302,7,0.441,182.705,4,1,b'Down On My Knees',2006,176,708,0,0,7,-10.372,0,11,-4.041,0.39238,789,nan,234.963,708,4049433,b'TRAHWNG128F932AFB7'
2329,b'SOVQQYE12AB0183BD8',509686,b'Vinyl Replica: El Milagro Argentino',b'ART6QCS1187FB40CBD',,b'',,b'Los Aut\xc3\xa9nticos Decadentes',0,199.8624,7,0.033,121.834,4,0.252,b'No S\xc3\xa9  Lo Que Hacer',0,96,388,0.195,0,7,-9.341,1,11,-3.793,0.30068,662,0,192.435,776,5643602,b'TRAHWOM128F933A1A1'
2330,b'SOZGUKP12AB018A2E2',515081,b'Germicide',b'AR8W8DN1187FB35ED0',34.05349,b'Los Angeles CA',-118.24532,b'The Germs',0,82.9122,9,0.552,64.259,1,0.5,b'Intro',0,88,88,0,0,9,-16.673,1,3,-10.381,0.37494,300,0.299877488,82.912,262,5714263,b'TRAHWSF128F934B190'
2331,b'SOGWECM12AAF3B477E',771319,b'The Triumph',b'ARPINYO12454A2E4AB',,b'Washington',,b'Deathstar',0,122.56608,6,0.392,142.253,4,0.533,b'Represent',0,71,289,0.136,0,6,-5.766,1,5,-3.381,1.11511,436,0.247715462,122.566,578,8539453,b'TRAHWXL12903CDCF8C'
2332,b'SORRBCN12AB017DC63',386501,b'Silverlined',b'ARIRBO11187FB4B219',,b'',,b'Donna The Buffalo',0,231.73179,5,0.088,130.545,4,0.64,b'Garden Of Eden',0,124,498,0.553,0,5,-6.079,0,8,-2.656,0.7468,854,0.304169503,220.444,996,4286578,b'TRAHXBP128F92E7528'
2333,b'SONIQTE12A58A7A189',106254,b'Mindy McCready',b'ARZL6CE1187FB3F264',27.9758,b'Fort Meyers FL',-81.54106,b'Mindy McCready',0,231.33995,9,0.4,88.942,4,0.835,b'Be With Me',2002,84,338,0.439,0,9,-9.018,1,8,-5.125,0.4393,737,0,218.767,1351,1101459,b'TRAHXEG128F428F1EC'
2334,b'SOEOJJA12AB018FCCF',588884,b'Dark And Dreary',b'ART70HI1187B9A37BC',32.20703,b'Richland MS',-90.14988,b'Elmore James',0,57.39057,5,0.009,172.9,5,1,b'Strange Kinda Feeling (Take 4)',1993,31,158,0.184,0,5,-10.985,1,3,-5.088,0.51744,202,nan,52.28,317,6531553,b'TRAHXFG12903CCED81'
2335,b'SOSCPDO12AB018395F',518084,b'Live & Rare',b'ARMBTFC1187FB56343',,b'Bakersfield CA',,b'Korn',0,185.93914,9,0.768,210.691,4,1,b'Right Now',2003,162,652,0,0,9,-6.738,0,8,-3.835,0.75215,674,nan,185.939,1303,5736134,b'TRAHXGG128F9350452'
2336,b'SOEQLVJ12AB0186D17',420605,b'The Very Best Of',b'ARYCP7D1187B99516B',43.64856,b'Toronto Canada',-79.38533,b'Pat Travers',0,239.0722,1,0.044,114.083,4,0.709,b'Black Betty',0,110,445,0.257,0,1,-8.665,1,9,-4.285,0.55746,816,nan,231.944,890,4692399,b'TRAHXHO128F933934B'
2337,b'SOADLFU12A8C1393FD',580995,"bChildren's Christmas Party""""",b'AR4WS1U1187FB5B02E',36.16778,b'Nashville TN',-86.77836,b'Bobby Russell',0,130.71628,7,0.232,137.959,1,0,b'Jingle Bell Rock',0,300,300,0.171,0,7,-14.945,1,4,-8.592,0.26528,533,nan,125.016,601,6436533,b'TRAHXJE12903CB8095'
2338,b'SOAEBQL12A8C134E07',286317,b'Super Hits',b'ARSK4D11187B9BA046',,b'',,b'Lisa Lisa & Cult Jam (featuring Full Force)',0,285.12608,6,0.351,107.944,4,1,b'U Never Nu How Good U Had It',1989,127,511,0,0,6,-7.311,1,13,-3.55,0.56661,1335,nan,281.617,1021,3207498,b'TRAHXKA128F426E903'
2339,b'SOHKHWK12A8C134B2C',87904,b'Soul Donkey',b'ARBAUDK1187FB3BD7F',,b'',,b'Sugarman Three',0,200.35873,5,0.851,135.525,4,0.554,"bMulin' Around""""",0,112,451,0.299,0,5,-6.692,0,5,-3.314,0.34867,639,0.447135796,185.794,902,926317,b'TRAHXKC128F4264AC1'
2340,b'SOPTEDP12A8C139E74',264782,"bThe Dungeonmaster's Guide""""",b'AR035N21187FB3938E',34.23294,b'Earth',-102.4102,b'BT',0,253.07383,10,0.255,136.897,3,1,b'Knowledge Of Self (Evol Intent Remix)',2004,198,596,0,0,10,-6.21,0,10,-2.379,3.11084,825,0.578274893,234.934,1192,2836548,b'TRAHXMC128F4267B70'
2341,b'SOWARKQ12AB0181960',630612,b'The Very Best of Gisele MacKenzie',b'ARDPZFB1187B9A91C3',49.89942,b'Winnipeg Manitoba Canada',-97.14074,b'Gisele MacKenzie',0,178.88608,7,0.497,121.078,4,0.707,b'Swinging Down the Lane',0,90,364,0.138,0,7,-13.298,1,9,-8.785,0.83312,491,nan,176.774,364,6998395,b'TRAHXOI128F93254C8'
2342,b'SOKYYGN12A58A7C856',466884,b'Freedom Of Expression',b'ARBYBBY11F4C8458A8',,b'',,b'Faking David',0,196.54485,2,0.654,107.303,4,0.933,b'Sex Will Sell',0,87,350,0.066,0,2,-8.101,1,7,-4.646,0.3077,845,0,191.24,699,5193409,b'TRAHXRA128F9339E18'
2343,b'SOEARAY12A8C139C21',94166,b'Good Times - A Collection',b'ARSPQ0H1187B999944',54.97938,b'Walker-on-Tyne England',-1.54508,b'Eric Burdon',0,271.64689,6,0.282,148.142,4,0,b'Hook Of Holland',0,166,666,0.124,0,6,-9.951,0,12,-7.183,1.04687,880,0.407233015,264.406,1332,2241534,b'TRAHXWA128F4265D32'
2344,b'SORIAMF12A8C14058D',240016,b'Into the Oh',b'AR26XQ61187FB36CF3',,b'',,b'Geggy Tah',0,231.54893,8,0.17,103.046,4,0.884,b'Special Someone',2001,98,393,0.165,0,8,-9.781,1,8,-4.366,0.15506,973,0,212.103,786,2994028,b'TRAHXWI128F428B7DA'
2345,b'SORPIQW12AB0179EA1',620764,b'Traditional Music Of Ireland',b'ARB06Z71187B99049A',,b'',,b'Seamus Egan',0,277.18485,2,0.7,61.82,1,0,"bMcDermott's Fancy / Swans Among The Rushes / Chicago / The Swallow's Nest - (jig)""""",0,281,281,0,0,2,-10.638,1,7,-6.19,0.3703,1308,0.192856346,270.321,1684,6895835,b'TRAHXZJ128F930C784'
2346,b'SOJPOIO12AB0184888',630579,b'Abnormal',b'AR1ZZOW1187B99BA84',40.14323,b'New Jersey',-74.72671,b'Bumblefoot',0,200.35873,2,0.487,98.784,4,0.26,b'Piranha',2008,81,325,0.067,0,2,-4.793,1,12,-2.372,0.49144,806,0.27224568,194.99,1301,6997683,b'TRAHYDH128F9325200'
2347,b'SOCMHUW12A58A7A5A1',161691,b'The Panama Limited',b'ARNEL2O1187FB4421A',33.89627,b'Houston MS',-89.00018,b'Bukka White',0,172.30322,6,0.657,107.081,4,0.949,"bFixin' To Die Blues""""",1940,71,298,0,0,6,-14.873,1,10,-8.617,0.38121,635,nan,166.168,596,1710748,b'TRAHYFB128F4280BB8'
2348,b'SONYTNS12A8C1374D9',94240,b'Chyna Doll',b'ARDI88R1187B98DAB2',,b'',,b'Foxy Brown / Total',0,287.7122,8,0.284,97.143,4,1,"bI Can't""""",0,116,466,0,0,8,-3.848,0,14,1.863,0.34592,1318,0.597116703,280.108,1861,986575,b'TRAHYFE128F4273577'
2349,b'SODNZDE12AB0184C18',702074,b'Travel Without Leaving The Bed',b'ARWPHDF1242077F0B8',,b'',,b':Blacks On :Blondes',0,383.58159,11,0.042,124.969,4,1,b'Sublime Control',0,199,800,0,0,11,-7.085,0,15,-1.917,0.21417,2722,nan,377.046,1598,7788528,b'TRAHYHQ12903C9D013'
2350,b'SOGEMEJ12B34F1C5AC',53164,b'Arnold Layne',b'AR2W4T81187FB410A7',,b'Cambridgeshire England',,b'David Gilmour Featuring Richard Wright',0,202.1873,2,0.036,138.43,1,0,b'Arnold Layne',2006,456,456,2.067,0,2,-7.204,1,10,-2.698,0.84909,580,nan,193.091,912,554393,b'TRAHYLE128F1494718'
2351,b'SOQSAOA12A8C1435BF',475877,b'Static Dynamics',b'AR3WMW01187B9921F7',,b'',,b'Schizoid',0,244.6624,7,0.752,175.127,5,0.531,b'Strangerhood',0,138,701,0.182,0,7,-24.2,1,12,-15.709,1.68046,855,nan,233.059,701,5283591,b'TRAHYLW128F92E3A44'
2352,b'SOAZIRE12A6702046F',9153,b'By The Way',b'ARE8GLF1187FB52532',,b'',,b'Red Hot Chili Peppers',0,367.01995,0,0.262,88.57,4,0.602,b'Venice Queen (Album Version)',2002,131,529,0.192,0,0,-5.278,1,14,-0.796,0.63023,1177,0.911733498,357.953,2115,93313,b'TRAHYMJ128E0787801'
2353,b'SOVHTEG12AB0188A10',761892,b'Rock Crown',b'AR3FOK11187FB3F4EE',,b'',,b'Seven Mary Three',0,238.10567,9,0.213,77.885,4,0.575,b'People Like New (LP Version)',1997,69,296,6.31,0,9,-10.133,0,8,-3.231,0.38168,522,0,230.882,593,8434690,b'TRAHYON12903CC36EF'
2354,b'SOQUHIF12A8C131AE9',281586,b'Na Fisai I Anixi',b'ARKEZNY1187B9B7F6C',,b'',,b'Irini Merkouri',0,237.81832,0,0.774,160.001,4,0.737,b'Oute Mia Fora',0,154,621,0.084,0,0,-7.788,1,13,-3.534,0.38313,910,nan,229.825,1242,3141834,b'TRAHYRS128F4262BCE'
2355,b'SOSZDCF12A6D4FCC54',228300,b'Latin Jazz (Jazz Club)',b'AROUOZZ1187B9ABE51',40.79195,b'New York NY [Spanish Harlem]',-73.94512,b'Willie Bobo',0,139.49342,0,0.516,113.552,7,0.595,"bIt's Not Unusual""""",2008,36,257,0.136,0,0,-12.039,1,7,-5.581,0.28658,606,nan,128.522,514,2502215,b'TRAHYVC128F421BB24'
2356,b'SOZUSPS12AB018DD52',719172,b'Industrial Panorama',b'AR2D0XK1187B98EC4A',,b'',,b'Johnny Pearson',0,105.92608,8,0.252,107.93,4,0,b'Running Sabotage',0,46,186,0.148,0,8,-14.579,0,7,-6.435,0.27167,428,nan,102.336,372,7971708,b'TRAHYVL12903CC97AB'
2357,b'SOPDIKM12AB017E911',629722,b'West Side Story - Original Broadway Cast',b'ARV38Z81187B98E608',,b'',,b'The Jets & The Sharks & Leonard Bernstein&The New York Philharmonic Orchestra',0,185.99138,7,0.593,111.506,3,0.639,b'The Dance at The Gym',0,115,352,0.514,0,7,-14.953,1,10,-8.479,0.51845,561,nan,178.817,705,6989609,b'TRAHZAL128F9323495'
2358,b'SORVOHB12A81C24347',277276,b'The Fifth Ave',b'ARCRR5X1187FB3BD4A',,b'',,b'Elva Hsiao',0,287.92118,1,0.806,135.778,4,0.389,b'Shi Qu Ni',0,160,646,0.826,0,1,-6.916,1,9,-2.698,0.68363,841,nan,278.338,1293,3089885,b'TRAHZBL128F4256274'
2359,b'SOQGWBX12AB017E456',406997,b'Les Affranchis',b'ARE2XN81187B98BB83',,b'',,b'Alexis HK',0,202.57914,11,0.483,160.066,4,0.356,b'Maudits anglois',2009,132,533,0.137,0,11,-12.215,0,8,-7.627,0.2759,802,0.327736683,197.538,1066,4522980,b'TRAHZCF128F9316036'
2360,b'SOXADYA12A8C135E39',287223,b'X.O. Experience',b'ARLLUSZ1187B98ACDC',,b'',,b'Tha Liks featuring King T',0,251.6371,1,0.162,89.311,5,0.599,b'The Bubble',2001,71,380,0,0,1,-5.17,1,13,-0.548,0.28368,1222,nan,251.637,760,3220266,b'TRAHZET128F4271AA0'
2361,b'SOEZUVC12AB0187534',569913,b'Moon In Scorpio',b'ARZHXR61187FB3D065',40.65507,b'Brooklyn',-73.94888,b'The Family Stand',0,413.54404,9,0.77,122.691,4,1,b'The Education Of Jamie',0,211,852,0.275,0,9,-10.216,0,16,-6.285,0.75243,1170,0,400.347,1704,6314677,b'TRAHZFD12903C9AC7E'
2362,b'SORLQLI12A8C1373BB',93181,b'Jukebox Hits 1940-1951',b'AR4UJ7O1187B994010',34.30246,b'Darlington SC',-79.87162,b'Buddy Johnson',0,171.38893,1,0.693,67.176,1,0.721,b'Because - Part 1',0,193,193,0.195,0,1,-10.03,1,5,-1.876,1.32857,384,nan,168.414,386,996929,b'TRAHZFG128F4275C87'
2363,b'SOLLQHF12A8C13FC20',310877,b'Ganas De Vivir',b'ARNTTHK1187B98FF64',,b'C\xc3\xa1diz',,b'Andy & Lucas',0,289.12281,1,0.891,143.855,4,0.589,b'Dios Bendiga',0,170,682,0,0,1,-3.628,0,15,0.593,0.44491,1064,0.427446571,279.8,1364,3533993,b'TRAHZFI128F92C21D6'
2364,b'SOLVUQB12A6D4F7DF3',26379,b'Bush Doctor',b'ARW0Z9V1187B9A0699',,b'Westmoreland Jamaica',,b'Peter Tosh',0,238.23628,11,0.299,92.643,4,0,b'Soon Come (2002 Digital Remaster)',1978,90,362,0.369,0,11,-7.261,0,16,-1.773,0.47238,952,nan,223.48,1088,285101,b'TRAHZHD128F1462C2D'
2365,b'SOHMHLN12AC90977FE',599320,b'The Roots Of Rap: Classic Recordings From The 1920s & 30s',b'ARDK0551187FB5AC48',31.30627,b'Marlin TX',-96.89774,b'Blind Willie Johnson',0,189.3873,5,0.215,164.641,1,0,"bIf I Had My Way I'd Tear This Building Down""""",1996,514,514,0.177,0,5,-16.111,1,11,-8.577,0.99333,678,0.358534976,182.793,1029,6675382,b'TRAHZIL12903CF1DC2'
2366,b'SONFCKJ12AB0185138',571600,b'Is This Room Getting Smaller?',b'AREW7CO1187B9A1B0D',34.05349,b'Los Angeles CA',-118.24532,b'Onesidezero',0,228.80608,11,0.568,86.844,4,1,b'Awake (Album Version)',2001,82,331,2.473,0,11,-6.036,0,10,-1.657,0.72522,714,0.206396916,228.806,1322,6348639,b'TRAHZLK12903CA2DCA'
2367,b'SOXFCPM12AB01896CC',759590,b'Confi\xc3\xa1',b'ARS4KT21187B9B9438',,b'',,b'Fito Paez',0,273.03138,4,0.127,124.989,4,0,b'La Ley De La Vida',2010,140,565,0.165,0,4,-6.116,0,10,-1.041,0.6654,960,0.496175336,265.41,1130,8416044,b'TRAHZLT12903CBEE31'
2368,b'SOEGTGH12A6D4F7DF4',1593,b'All I Want',b'AR35YUO1187B9AD83E',55.8578,b'Glasgow Scotland',-4.24251,b'Wet Wet Wet',0,257.25342,2,0.393,93.156,4,0.824,b'Goodnight Girl',1992,95,386,0.288,0,2,-4.925,1,10,-0.005,0.63052,689,nan,247.728,772,16055,b'TRAHZMM128E07838FF'
2369,b'SOWMYVP12AB017BB47',538806,b'My Own Set Of Rules',b'ARUNHZF122988ED7DA',35.21962,b'North Carolina',-80.01955,b'Lou Reid & Carolina',0,145.94567,4,0.014,109.696,4,0.653,"bIt's So Hard To Stumble (When You're Down On Your Knees)""""",0,65,264,0.165,0,4,-9.063,1,6,-4.524,1.43858,337,0,137.485,527,5965660,b'TRAHZNL128F9312B48'
2370,b'SOBABBA12AC468ADD9',735329,b'This Is You',b'ARDD1RC1187B9B52B4',,b'',,b'Jacob Young',0,335.93424,5,0.275,77.635,5,0.672,b'Print',0,69,430,0.345,0,5,-21.498,1,15,-11.521,0.26878,1373,0,327.819,1289,8146144,b'TRAHZOF12903CF3F75'
2371,b'SOLTUPQ12AAF3B2B85',529997,b'Paradigm Shift',b'AREOREU1187B99AACD',-41.28054,b'Wellington',174.76714,b'Rhian Sheehan',0,200.77669,5,0.158,98.998,4,0.905,"bAn Afternoon On the Moon (Jet Jaguar's Remix)""""",2001,81,326,0.061,0,5,-12.88,0,10,-5.444,0.32426,680,nan,192.244,652,5855601,b'TRAHZQF128F92F7F6C'
2372,b'SOFCKRY12AAF3B2FAF',382118,b'Powerful Stuff',b'ARBFDJW1187B9AD27A',30.2676,b'Austin TX',-97.74298,b'The Fabulous Thunderbirds',0,221.23057,4,0.69,110.98,3,1,"bRainin' In My Heart""""",1989,130,394,0.473,0,4,-14.977,0,12,-9.864,0.47426,653,0.215080319,212.91,787,4241640,b'TRAHZQU128F92DDCAB'
2373,b'SOOFGBS12AB017F30A',545975,b'Steel Box Collection - Leo Ku',b'AR8QHU51187B9A3341',,b'',,b'Leo Ku',0,280.55465,4,0.299,110.007,4,1,b'Ai De Jie Shi',0,126,508,0,0,4,-9.801,1,14,-4.282,0.60569,817,nan,274.901,1016,6041178,b'TRAHZSF128F9324CED'
2374,b'SOVJBXW12AB017FE32',457846,b'Temporary Measures',b'ARKKTIY11F4C845817',49.38426,b'CANADA - Ontario',-84.75627,b'Chris Vickery',0,191.7122,0,0.417,141.868,4,0,b'Jokers and Thieves',0,111,446,0.078,0,0,-9.22,1,10,-4.873,0.4214,672,0.340922756,185.504,892,5096400,b'TRAHZVZ128F9322915'
2375,b'SORYDTU12AB0184426',462774,b'Thugz Of War',b'ARJNOOU11F4C845A6A',,b'',,b'Riviera Regime',0,275.22567,2,0.02,93.03,4,0.934,"bDoin' It""""",0,105,424,0,0,2,-5.572,1,11,-1.478,0.19399,1397,0,262.809,1696,5151636,b'TRAHZXW128F932FAFC'
2376,b'SONYMCA12AB0184228',347392,b'Official Space Tape',b'ARTL6FB1187FB4EAA7',,b'',,b'Kool Keith',0,222.30159,9,0.459,181.208,4,0,b'Wanna Be A Star',1996,167,671,0,0,9,-4.224,0,13,1.117,0.278,1106,0.323112121,222.302,1342,3887475,b'TRAHZXY128F930A09A'
2377,b'SOCVLYM12A8C13A799',297735,"bHeard 'Em Say""""",b'ARRH63Y1187FB47783',,b'Atlanta GA',,b'Kanye West / Adam Levine',0,204.5122,6,0,95.098,4,1,"bHeard 'Em Say""""",2005,79,318,0,0,6,-11.38,1,9,-5.545,0.5004,1106,nan,196.499,1274,3332053,b'TRAIACZ128F428C60A'
2378,b'SOEHCUK12AC468B7DE',606097,b'Rockers Vibration',b'AR78ZID1187B9B31ED',18.11526,b'Jamaica',-77.27348,b'Mikey Dread',0,193.12281,6,0.195,132.088,4,0.674,b'Hot Cross Bun',1982,104,420,0.14,0,6,-8.173,0,12,-1.633,0.2098,742,nan,185.359,840,6734070,b'TRAIADF12903D0023E'
2379,b'SOSVKSI12A8C133503',286965,b'An Austin Rhythm And Blues Christmas',b'ARRWQW61187FB5B301',30.2676,b'Austin TX',-97.74298,b'Lou Ann Barton',0,241.26649,3,0.367,87.485,3,0.286,b'Please Come Home For Christmas',1986,114,347,0.078,0,3,-10.733,1,13,-4.554,0.35984,631,0.454042766,235.572,694,3219404,b'TRAIAFH128F4271742'
